"ID","code","indicator","year","amsterdam_code","naam"
"306","NLSTR","Strikes in Netherlands","1901","","DELFSTRAHUIZEN"
"307","NLSTR","Strikes in Netherlands","1901","10536","BEETS"
"308","NLSTR","Strikes in Netherlands","1902","10426","GRONINGEN"
"309","NLSTR","Strikes in Netherlands","1902","11150","AMSTERDAM"
"310","NLSTR","Strikes in Netherlands","1902","11044","ZAANDAM"
"311","NLSTR","Strikes in Netherlands","1902","11150","AMSTERDAM"
"312","NLSTR","Strikes in Netherlands","1902","10253","KAMPEN"
"313","NLSTR","Strikes in Netherlands","1902","","?"
"313","NLSTR","Strikes in Netherlands","1902","11252","HOUTRIJK EN POLANEN"
"314","NLSTR","Strikes in Netherlands","1903","10345","ROTTERDAM"
"315","NLSTR","Strikes in Netherlands","1904","","TERWISPEL"
"316","NLSTR","Strikes in Netherlands","1904","10212","FINSTERWOLDE"
"317","NLSTR","Strikes in Netherlands","1904","10357","HAARLEM"
"318","NLSTR","Strikes in Netherlands","1904","10557","ZALTBOMMEL"
"319","NLSTR","Strikes in Netherlands","1904","","HALFWEG"
"320","NLSTR","Strikes in Netherlands","1904","","VRIJHOEVE-"
"321","NLSTR","Strikes in Netherlands","1904","11119","WINTERSWIJK"
"322","NLSTR","Strikes in Netherlands","1889","11150","AMSTERDAM"
"322","NLSTR","Strikes in Netherlands","1889","10345","ROTTERDAM"
"323","NLSTR","Strikes in Netherlands","1889","","HOOFDDORP"
"324","NLSTR","Strikes in Netherlands","1889","11150","AMSTERDAM"
"325","NLSTR","Strikes in Netherlands","1889","11150","AMSTERDAM"
"326","NLSTR","Strikes in Netherlands","1889","10345","ROTTERDAM"
"327","NLSTR","Strikes in Netherlands","1889","10345","ROTTERDAM"
"328","NLSTR","Strikes in Netherlands","1889","11150","AMSTERDAM"
"329","NLSTR","Strikes in Netherlands","1889","10345","ROTTERDAM"
"330","NLSTR","Strikes in Netherlands","1889","","KNIJPE"
"331","NLSTR","Strikes in Netherlands","1889","10373","KROMMENIE"
"332","NLSTR","Strikes in Netherlands","1889","11150","AMSTERDAM"
"333","NLSTR","Strikes in Netherlands","1889","11150","AMSTERDAM"
"334","NLSTR","Strikes in Netherlands","1889","10345","ROTTERDAM"
"335","NLSTR","Strikes in Netherlands","1896","10345","ROTTERDAM"
"336","NLSTR","Strikes in Netherlands","1896","11150","AMSTERDAM"
"337","NLSTR","Strikes in Netherlands","1896","11150","AMSTERDAM"
"338","NLSTR","Strikes in Netherlands","1896","10345","ROTTERDAM"
"339","NLSTR","Strikes in Netherlands","1912","11150","AMSTERDAM"
"340","NLSTR","Strikes in Netherlands","1912","10722","UTRECHT"
"341","NLSTR","Strikes in Netherlands","1912","","DEN HAAG"
